Unnamed: 0,header,NumberofInstances,Area,NumberofAttributes,DateDonated,MissingValues,NumberofWebHits,multivariate_data,time_series_data,data_generator_data,domain_theory_data,image_data,relational_data,sequential_data,spatial_data,univariate_data,spatio_temporal_data,text_data,transactional_data,num_data_characteristics,categorical_attributes,real_attributes,integer_attributes,no_listed_attributes,num_attribute_characteristics,causal_discover_task,classification_task,regression_task,function_learning_task,reccomendation_task,description_task,relational_learning_task,no_given_task,clustering_task,num_associated_tasks,source_institution_places,year_donated,year_month_donated,DatasetAge,DatapointCount
138,Gas sensor array under flow modulation Data Set,58,Computer,120432,9/10/2014,No,38476,1,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,"[['Universitat Politecnica de Catalunya', 'Barcelona', 'Spain', 'ESP'], ['University of California, San Diego', 'San Diego, CA', 'United States', 'USA']]",2014,9-2014,6,6985056
139,Tamilnadu Electricity Board Hourly Readings Data Set,45781,Life,5,12/22/2013,No,74033,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,1,1,,2013,12-2013,7,228905
140,YouTube Spam Collection Data Set,1956,Computer,5,3/26/2017,No,81581,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,"[['Google, Inc.', 'Mountain View, CA', 'United States', 'USA']]",2017,3-2017,3,9780
141,Bag of Words Data Set,8000000,Other,100000,3/12/2008,No,311733,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,"[['University of California, Irvine', 'Irvine, CA', 'United States', 'USA']]",2008,3-2008,12,8.00E+11
142,Eco-hotel Data Set,401,Business,1,7/23/2017,No,37241,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,,2017,7-2017,3,401
143,detection_of_IoT_botnet_attacks_N_BaIoT Data Set,7062606,Computer,115,3/19/2018,No,65524,1,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,"[['Ben-Gurion University of the Negev', 'Beersheba', 'Israel', 'ISR']]",2018,3-2018,2,812199690
144,OpinRank Review Dataset Data Set,0,Computer,0,7/26/2011,No,51010,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,"[['University of Illinois Urbana-Champaign', 'Champaign, IL', 'United States', 'USA']]",2011,7-2011,9,0
145,BitcoinHeistRansomwareAddressDataset Data Set,2916697,Computer,10,6/17/2020,No,3669,1,1,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,2,0,1,0,0,0,0,0,0,1,2,"[['University of Manitoba', 'Winnipeg', 'Canada', 'CAN'], ['University of Texas at Dallas', 'Dallas, TX', 'United States', 'USA']]",2020,6-2020,0,29166970
146,Repeat Consumption Matrices Data Set,130000,Computer,21000,3/22/2018,No,21013,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,"[['University of California, Irvine', 'Irvine, CA', 'United States', 'USA']]",2018,3-2018,2,2730000000
147,Restaurant & consumer data Data Set,138,Computer,47,8/4/2012,Yes,141767,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,"[['National Center for Research and Technological Development (CENIDET)', 'Cuernavaca', 'Mexico', 'MEX']]",2012,8-2012,8,6486
148,HIV-1 protease cleavage Data Set,6590,Life,1,4/25/2015,No,60295,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,"[['Halmstad University', 'Halmstad', 'Sweden', 'SWE']]",2015,4-2015,5,6590
149,Avila Data Set,20867,Computer,10,6/20/2018,No,31304,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,"[['University of Cassino and Southern Lazio', 'Cassino', 'Italy', 'ITA']]",2018,6-2018,2,208670
150,Chess (King-Rook vs. King-Pawn) Data Set,3196,Game,36,8/1/1989,No,116780,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,"[['Turing Institute in Glasgow', 'Glasgow', 'United Kingdom', 'GBR']]",1989,8-1989,31,115056
151,DrivFace Data Set,606,Computer,6400,5/26/2016,No,35735,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,1,1,"[['Universitat Autonoma de Barcelona', 'Barcelona', 'Spain', 'ESP']]",2016,5-2016,4,3878400
152,Website Phishing Data Set,1353,Computer,10,11/2/2016,No,83416,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,"[['Auckland Institute of Studies', 'Auckland', 'New Zealand', 'NZL']]",2016,11-2016,4,13530
153,Breast Cancer Wisconsin (Original) Data Set,699,Life,10,7/15/1992,Yes,610312,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,"[['University of South Carolina', 'Columbia, SC', 'United States', 'USA'], ['Johns-Hopkins University', 'Baltimore, MD', 'United States', 'USA'], ['University of Wisconsin', 'Madison, WI', 'United States', 'USA']]",1992,7-1992,28,6990
154,Low Resolution Spectrometer Data Set,531,Physical,102,3/1/1988,No,53000,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,2,0,1,0,0,0,0,0,0,0,2,"[['NASA', 'Washington, DC', 'United States', 'USA']]",1988,3-1988,32,54162
155,Reuter_50_50 Data Set,2500,Computer,10000,9/8/2011,No,65189,1,0,0,1,0,0,0,0,0,0,1,0,2,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,"[['National Engineering Research Center for E-Learning', 'Wuhan', 'China', 'CHN']]",2011,9-2011,9,25000000
156,Kinship Data Set,104,Social,12,7/1/1990,No,76204,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,,1990,7-1990,30,1248
157,Localization Data for Person Activity Data Set,164860,Life,8,11/3/2010,No,105864,0,1,0,0,0,0,1,0,1,0,0,0,3,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,"[['Jozef Stefan Institute', 'Ljubljana', 'Slovenia', 'SVN']]",2010,11-2010,10,1318880
158,Combined Cycle Power Plant Data Set,9568,Computer,4,3/26/2014,No,167823,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,"[['Namik Kemal University', 'Tekirda?', 'Turkey', 'TUR'], ['Bo?aziÁi University', 'Istanbul', 'Turkey', 'TUR']]",2014,3-2014,6,38272
159,ISOLET Data Set,7797,Computer,617,9/12/1994,No,122817,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,"[['Oregon State University', 'Corvallis, OR', 'United States', 'USA']]",1994,9-1994,26,4810749
160,Audiology (Original) Data Set,226,Life,0,12/3/1987,Yes,110441,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,"[['University of Texas', 'Austin, TX', 'United States', 'USA']]",1987,12-1987,33,0
161,NYSK Data Set,10421,Social,7,10/11/2013,No,53307,1,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,"[['Bertin IT', 'Montigny', 'France', 'FRA']]",2013,10-2013,7,72947
162,Dataset for ADL Recognition with Wrist-worn Accelerometer Data Set,0,Computer,3,2/11/2014,No,78994,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,"[['University of Genoa', 'Genoa', 'Italy', 'ITA']]",2014,2-2014,6,0
163,Daily Demand Forecasting Orders Data Set,60,Business,13,11/21/2017,No,78216,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,"[['Universidade Nove de Julho', 'Sao Paulo', 'Brazil', 'BRA'], ['University of S„o Paulo', 'Sao Paulo', 'Brazil', 'BRA']]",2017,11-2017,3,780
164,Burst Header Packet (BHP) flooding attack on Optical Burst Switching (OBS) Network Data Set,1075,Computer,22,8/28/2017,No,30223,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,"[['University of South Carolina', 'Columbia, SC', 'United States', 'USA']]",2017,8-2017,3,23650
165,Parkinson Speech Dataset with  Multiple Types of Sound Recordings Data Set,1040,Life,26,6/12/2014,No,99046,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,2,0,1,1,0,0,0,0,0,0,2,"[['Bahcesehir University', 'Istanbul', 'Turkey', 'TUR'], ['Bogazici University', 'Istanbul', 'Turkey', 'TUR'], ['Istanbul University', 'Istanbul ', 'Turkey', 'TUR'], ['Gazi University', 'Ankara', 'Turkey', 'TUR'], ['Bo?aziÁi University', 'Istanbul', 'Turkey', 'TUR']]",2014,6-2014,6,27040
166,Shuttle Landing Control Data Set,15,Physical,6,11/1/1988,No,103637,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,"[['NASA', 'Washington, DC', 'United States', 'USA'], ['Jozef Stefan Institute', 'Ljubljana', 'Slovenia', 'SVN']]",1988,11-1988,32,90
167,Statlog (Image Segmentation) Data Set,2310,Other,19,11/1/1990,No,61416,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,"[['University of Massachusetts', 'Amherst, MA', 'United States', 'USA']]",1990,11-1990,30,43890
168,Molecular Biology (Splice-junction Gene Sequences) Data Set,3190,Life,61,1/1/1992,No,101540,0,0,0,1,0,0,1,0,0,0,0,0,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,"[['University of South Carolina', 'Columbia, SC', 'United States', 'USA'], ['Rutgers University', 'New Brunswick, NJ', 'United States', 'USA']]",1992,1-1992,28,194590
169,Amazon Commerce reviews set Data Set,1500,Physical,10000,6/11/2011,No,198876,1,0,0,1,0,0,0,0,0,0,1,0,2,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,"[['National Engineering Research Center for E-Learning', 'Wuhan', 'China', 'CHN']]",2011,6-2011,9,15000000
170,User Identification From Walking Activity Data Set,0,Other,0,3/2/2014,No,73025,0,1,0,0,0,0,1,0,1,0,0,0,3,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,"[['Computer Vision Center', 'Barcelona', 'Spain', 'ESP']]",2014,3-2014,6,0
171,Query Analytics Workloads Dataset Data Set,260000,Computer,8,6/22/2019,No,13923,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,"[['University of Glasgow', 'Glasgow', 'United Kingdom', 'GBR']]",2019,6-2019,1,2080000
172,Abscisic Acid Signaling Network Data Set,300,Life,43,4/3/2008,No,56272,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,"[['CFD Research Corporation', 'Huntsville, AL', 'United States', 'USA']]",2008,4-2008,12,12900
